section,item_type,item_data_id,name,level,aliases,anchor_words
HomeVillage,Trap,12000005,Air Bomb,1,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,2,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,3,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,4,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,5,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,6,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,7,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,8,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,9,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
HomeVillage,Trap,12000005,Air Bomb,10,air | Air Bomb | air info | air trap setup | air trap setup lvl 11 | air trap setup lvl 13 | air trap setup lvl 3 | air trap setup lvl 5 | air trap setup lvl 6 | air trap setup lvl 8 | air_trap_setup | air_trap_setup_lvl11 | air_trap_setup_lvl13 | air_trap_setup_lvl3 | air_trap_setup_lvl5 | air_trap_setup_lvl6 | air_trap_setup_lvl8 | airtrap | airtrap lvl 1 | airtrap lvl 1 info | airtrap_lvl1_info | Bomb | lvl 1 | lvl 11 | lvl 13 | lvl 3 | lvl 5 | lvl 6 | lvl 8 | lvl1 | lvl11 | lvl13 | lvl3 | lvl5 | lvl6 | lvl8 | setup | TID_TRAP_AIR | TID_TRAP_AIR_INFO | trap | trap air | trap air info,airtrap | setup
